Non-Terminals,array,begin,boolean,break,do,else,end,enddo,endif,false,float,for,func,if,in,int,let,of,return,then,to,true,type,unit,var,while,",",:,;,(,),[,],{,},.,+,-,*,/,=,<>,<,>,<=,>=,&,|,:=,intlit,floatlit,id,_,eof
program,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,30,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
params,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,31,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,32,E,E
clause,E,E,E,E,E,E,E,E,E,33,E,E,E,E,E,E,E,E,E,E,E,33,E,E,E,E,E,E,E,33,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,33,33,33,33,E
optinit,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,34,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,35,E,E,E,E,E
type,41,E,36,E,E,E,E,E,E,E,38,E,E,E,E,37,E,E,E,E,E,E,E,39,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,40,E,E
nonlinop,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,42,43,E,E,E,E,E,E,E,E,E,E,E,E,E,E
neexprs_lf,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,45,E,E,E,44,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
factor_lf,E,E,E,E,15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,15,15,E,E,E,E,E,15,E,15,17,15,16,15,E,E,E,15,15,15,15,15,15,15,15,15,15,15,15,E,E,E,E,E,E
neparams_lf,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,50,E,E,E,49,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
stmt,E,E,E,54,E,E,E,E,E,E,E,53,E,56,E,E,E,E,55,E,E,E,E,E,E,52,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,51,E,E
clause',E,E,E,E,58,E,E,E,E,E,E,E,E,E,E,E,E,E,E,58,58,E,E,E,E,E,58,E,58,E,58,E,58,E,E,E,E,E,E,E,E,E,E,E,E,E,57,58,E,E,E,E,E,E
stmt_lf,E,E,E,E,E,60,E,E,59,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
funcdecls,E,E,E,E,E,E,E,E,E,E,E,E,62,E,61,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
vardecls,E,E,E,E,E,E,E,E,E,E,E,E,63,E,63,E,E,E,E,E,E,E,E,E,64,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
typedecls,66,E,66,E,E,E,E,E,E,E,66,E,65,E,65,66,E,E,E,E,E,E,E,66,65,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,66,E,E
term,E,E,E,E,E,E,E,E,E,67,E,E,E,E,E,E,E,E,E,E,E,67,E,E,E,E,E,E,E,67,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,67,67,67,67,E
declseg,69,E,69,E,E,E,E,E,E,E,69,E,E,E,E,69,E,E,E,E,E,E,E,69,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,69,E,E
aexpr',E,E,E,E,71,E,E,E,E,E,E,E,E,E,E,E,E,E,E,71,71,E,E,E,E,E,71,E,71,E,71,E,71,E,E,E,70,70,E,E,71,71,71,71,71,71,71,71,E,E,E,E,E,E
optoffset,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,73,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,72,E,E,E,E,E
ids,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,74,E,E
expr,E,E,E,E,E,E,E,E,E,77,E,E,E,E,E,E,E,E,E,E,E,77,E,E,E,E,E,E,E,77,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,77,77,77,77,E
exprs,E,E,E,E,E,E,E,E,E,76,E,E,E,E,E,E,E,E,E,E,E,76,E,E,E,E,E,E,E,76,75,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,76,76,76,76,E
pred,E,E,E,E,E,E,E,E,E,68,E,E,E,E,E,E,E,E,E,E,E,68,E,E,E,E,E,E,E,68,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,68,68,68,68,E
funcdecl,E,E,E,E,E,E,E,E,E,E,E,E,78,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
cmp,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,79,80,83,84,81,82,E,E,E,E,E,E,E,E
