Non-Terminals,array,begin,boolean,break,do,else,end,enddo,endif,false,float,for,func,if,in,int,let,of,return,then,to,true,type,unit,var,while,",",:,;,(,),[,],{,},.,+,-,*,/,=,<>,<,>,<=,>=,&,|,:=,intlit,floatlit,id,_,eof
fullstmt,E,E,E,1,E,E,E,E,E,E,E,1,E,1,E,E,E,E,1,E,E,E,E,E,E,1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,E,E
stmts_lf,E,E,E,3,E,2,2,2,2,E,E,3,E,3,E,E,E,E,3,E,E,E,E,E,E,3,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,3,E,E
typedecl,4,E,4,E,E,E,E,E,E,E,4,E,E,E,E,4,E,E,E,E,E,E,E,4,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,E,E
factor,E,E,E,E,E,E,E,E,E,46,E,E,E,E,E,E,E,E,E,E,E,46,E,E,E,E,E,E,E,47,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,46,46,48,46,E
neparams,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,E,E
linop,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,6,7,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
pred_lf,E,E,E,E,8,E,E,E,E,E,E,E,E,E,E,E,E,E,E,8,8,E,E,E,E,E,8,E,8,E,8,E,8,E,E,E,E,E,E,E,9,9,9,9,9,9,8,8,E,E,E,E,E,E
term',E,E,E,E,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,11,11,E,E,E,E,E,11,E,11,E,11,E,11,E,E,E,11,11,10,10,11,11,11,11,11,11,11,11,E,E,E,E,E,E
neexprs,E,E,E,E,E,E,E,E,E,12,E,E,E,E,E,E,E,E,E,E,E,12,E,E,E,E,E,E,E,12,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,12,12,12,12,E
ids_lf,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,14,13,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
aexpr,E,E,E,E,E,E,E,E,E,18,E,E,E,E,E,E,E,E,E,E,E,18,E,E,E,E,E,E,E,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,18,18,18,18,E
const,E,E,E,E,E,E,E,E,E,20,E,E,E,E,E,E,E,E,E,E,E,19,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,22,23,E,21,E
expr',E,E,E,E,25,E,E,E,E,E,E,E,E,E,E,E,E,E,E,25,25,E,E,E,E,E,25,E,25,E,25,E,25,E,E,E,E,E,E,E,E,E,E,E,E,E,E,24,E,E,E,E,E,E
stmts,E,E,E,26,E,E,E,E,E,E,E,26,E,26,E,E,E,E,26,E,E,E,E,E,E,26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,26,E,E
lvalue,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,27,E,E
vardecl,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,28,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
param,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,29,E,E
